Day,Hour,Volum_SK,Volum_KO,Volum_BG,Volum_BV
11,21,269,171,260,368
11,22,176,94,157,265
11,23,119,77,94,121
12,0,31,30,27,35
12,1,22,8,7,20
12,2,20,7,10,14
12,3,12,2,3,11
12,4,15,11,6,14
12,5,54,35,27,42
12,6,241,107,113,243
12,7,804,412,554,1080
12,8,644,575,746,825
12,9,511,308,337,636
12,10,529,305,399,647
12,11,566,357,422,715
12,12,586,319,444,735
12,13,695,416,541,904
12,14,766,571,705,1029
12,15,966,690,974,1307
12,16,791,563,787,1117
12,17,466,362,454,697
12,18,388,309,398,553
12,19,318,270,310,540
12,20,284,239,277,438
12,21,209,155,213,300
12,22,185,122,154,224
12,23,90,81,70,112
13,0,35,35,21,35
13,1,29,5,12,27
13,2,14,3,9,13
13,3,8,3,5,11
13,4,26,12,7,19
13,5,47,35,21,44
13,6,233,94,102,234
13,7,783,405,529,1078
13,8,655,566,737,836
13,9,467,311,339,631
13,10,491,254,360,694
13,11,538,363,465,685
13,12,623,399,473,773
13,13,706,498,627,955
13,14,785,524,824,1080
13,15,883,665,926,1371
13,16,826,606,855,1150
13,17,498,366,511,750
13,18,485,331,464,684
13,19,364,305,398,621
13,20,376,217,303,540
13,21,217,125,243,313
13,22,184,119,185,271
13,23,115,78,85,123
14,0,51,31,33,47
14,1,25,17,16,26
14,2,22,4,14,14
14,3,25,4,8,11
14,4,17,11,9,16
14,5,70,38,26,41
14,6,220,103,115,233
14,7,730,368,551,1025
14,8,636,529,727,800
14,9,500,310,391,626
14,10,602,330,359,724
14,11,661,341,451,856
14,12,752,436,569,942
14,13,793,505,666,1120
14,14,874,582,783,1223
14,15,1029,666,1030,1548
14,16,960,615,913,1327
14,17,589,335,524,925
14,18,447,273,386,742
14,19,405,267,371,615
14,20,322,197,260,493
14,21,254,156,189,304
14,22,199,116,165,278
14,23,156,96,120,175
15,0,132,75,94,130
15,1,85,33,46,73
15,2,59,25,41,75
15,3,48,10,17,41
15,4,31,2,7,15
15,5,39,12,14,25
15,6,60,22,23,63
15,7,127,42,74,137
15,8,110,56,73,104
15,9,209,94,141,305
15,10,332,174,240,467
15,11,512,277,430,697
15,12,657,335,509,888
15,13,750,426,630,1044
15,14,829,452,721,1166
15,15,784,448,703,1146
15,16,691,340,625,990
15,17,560,310,485,854
15,18,458,270,456,750
15,19,292,193,297,434
15,20,271,159,239,361
15,21,245,131,224,289
15,22,205,117,184,289
15,23,191,107,152,238
16,0,199,90,135,220
16,1,175,92,113,165
16,2,105,60,62,112
16,3,64,27,35,72
16,4,48,15,19,27
16,5,38,9,15,16
16,6,38,20,18,46
16,7,98,36,52,113
16,8,59,27,44,76
16,9,77,40,68,94
16,10,171,102,157,199
16,11,326,159,234,313
16,12,411,300,444,426
16,13,556,331,457,555
16,14,600,377,550,636
16,15,586,367,560,668
16,16,430,258,389,517
16,17,382,268,329,432
16,18,300,207,299,402
16,19,255,186,266,339
16,20,192,140,219,288
16,21,179,132,156,257
16,22,128,80,110,208
16,23,68,42,49,70
17,0,39,20,20,48
17,1,26,14,14,18
17,2,22,3,3,7
17,3,14,4,5,12
17,4,19,10,6,13
17,5,59,46,31,45
